store_id,store_id_count
0004d0b59e19461ff126e3a08a814c33,118
00053f5e11d1fe4e49a221165b39abc9,1
0006aabe0ba47a35c0b0bf6596f85159,4
000a91f3e374e6147d58ed1814247508,10
0029f088c57ad3b6ec589f9ba4f7a057,10
002f9c8cee878b64a747a2c211da7d83,26
00430c0c1fae276c9713ab5f21167882,70
0044deeec43ded19b952125079eb1781,17
00482b9bed15a272730fcb590ffebddd,5
004a68efcee088ddeaaca5c5a3afaa2f,5
005b0c27e7224dabb8c1c7346ceea228,2
005f91955ff9fc532184ba7566f088fd,18
0060ef47b12160b9198302ebdb144dcf,6
00650747d878eecae4d468a880de38b2,103
006bfae3a90bab38e29382170867e962,4
006f52e9102a8d3be2fe5614f42ba989,26
0070d23b06b1486a538c0eaa45dd167a,28
007202387c4274c570d9cb72943fc873,14
00755a54ea07fa69087afa4ffe9955e7,31
0079576419ccacff015989ce74616d69,6
007ad58edbc2780f6bf6cf14e12c063f,15
007d4a1214289aea09b9759ae1324e96,3
00989c20ff1386dc386d8124ebcba1a5,9
009a5510ad149a8e0c750cb62e255175,116
009c434cab57de48a31f6b669e7ba266,62
00a59ba9fb2b36cf6b940130aa4361a4,13
00ac8ed3b4327bdd4ebbebcb2ba10a00,7
00b5d2692a781b6a9d3d1522c6e9d1ad,2
00b99e87221c9afb0c0c23c3fb403307,3
00ca4dc5c4d94396ae3966f3b0ab1f1b,7
00ec53c4682d36f5c4359f4ae7bd7ba1,71
01064f1de9dfcd9d77b14d11beefefd4,11
01065cc12a9d7a950be0386ba0e43157,23
01067f6f4ec8b1a0843daccb97664995,3
0120ec28bc96b5b1ce1ba1999ce204b0,28
01259a0cb2431834302abe2df60a1327,40
01386bd6d8e091c2ab4c7c7de644d37b,38
013a006f03dbc5392effeb8f18fda755,43
013c17ae3d8adf097f5ddd872096b8fe,4
013d407166ec4fa56eb1e1f8cbe183b9,23
0141a8aedb1b53970fac7c81dac79fbe,5
0147fa9611db0b7cd706139ae2170494,1
015e31933548461020e2ba448e85995e,36
0164681a5e7cab55bfaa89e9c524c9f0,12
0169cf885f882efd795951253db5cdfb,2
0183e4f6ecf3efd66438a27cb4ec2d68,8
01882513d5fa7c329e940dda99b12147,54
01894d6f048493d2cacde3c579c315a3,1
0189caa552598b845b29b17a427692d1,5
018dd1e07a2de4a08e6612341bf2323e,7
018e3f082dfe6a493db5351abcaac5b8,9
01922cbeae89ad4d79ab769e84e7c5da,1
0192adec1a16b0565dc3f70b5d235a40,20
01931a6925d3de09e5f87419d9d55055,90
019d3e5eef8b966f2a698d6835e35130,59
01b7575c38dac42f3cfb7d500438b875,12
01bbd8f95cd042e965e53b0a85354bd3,35
01c6fc8bc32f1237be039ceb6b4b4b2d,23
01c8a64a2b3c66c05c2dbf9df27510eb,3
01daa090f0d5693d97c90755a54fa204,10
01e00f2f4bfcbb7505cb641066f2859b,14
01e651518630062d985188c1f0dbd83a,9
01ee2e65c1b26551bda7abb393ac860c,20
01efe0c4fb62ade937afa0bdf2ea0844,5
01f6211e00cc8f00a7b68e8e24b1b4d6,7
01f78be6f7cad02658508fe4616098a9,20
01f8343e378b1ae8d0b66c992e7f7563,6
02052c0f4599c2aa6bead905338f1214,46
020995e82b0c56ec52f28dd7de3bb145,11
020bf2c45e7bb322f89a226bd2c5d41b,1
0215373e47004d8bb98390bfa226fcdf,3
021b8947656eb84e4c641506215777c8,17
021bbc7ee20b71134d53e20206bd6feb,1
021f6dd88a11ca489936ae770e4634ad,153
022898bbc7110244fd24b3e410597047,55
022e0ee5162c13d9a7bb3bd00fb032ce,6
0234c510bc6d908b28c70ff313743079,32
024ad13483b2864fdaf570682863934e,1
02521712a2db79856e98d9a95c2a87e1,12
0266e33d3f546cb5436a10798e657d97,37
02709600f60cc5f733fd879be89f4b3b,3
029088a9cfa844b43f1cb39d3377aac6,4
02a32ad2669e6fe298e607fe7cc0e1a0,12
02a3c7fb3f489288ae6942498498db20,3
02b1be0d48924c327124732726097157,8
02c27682b80b462437ba4efc71267562,8
02d35f682ff59f1acc13065dec46fe25,7
02e656adee09f8394b402d9958389b7d,4
02e74f10e0327ad868d138f2b4fdd6f0,161
02ed812220b0705fabb868ddbf17ea20,2
02f039058bd48307e6f653a2005c9dd2,25
02f657d55eaf1c4840ce8d66fcdaf90c,1
030862565f5882a522a10504b2c90dc9,21
030e65da2b1c944090548d36b244b28d,66
031a0d8b9f7e04e38eb55af2ca1550bd,21
03201ae30e1239054512737f608b91cf,2
03255088ed63354a54e0e5ed957e9008,3
032a01d83345f23883c98c540ff32fe7,8
032d9c7d8705c3fde20e0df93c132203,5
032dd17b77fab7d51a476c5ff2b5659c,111
0332d694daab22e0e0eaf7a5e88433f9,3
0336dcbab05b9d5ad24f4333c7658a0e,234
033daef61ea8721921fbbeebb6f87313,4
034260c0426cf36118803ce0df4457fd,3
03492e99e42e7ea8480cdfb4899604f5,2
03573b32b2746e6e8ca98b9123f2249b,6
037a595e6f4f0576a9efe43154d71c18,1
037c4b89b115a70b50f13db0d6b4da9d,11
0383aa006955b67fb5d9110bc2522d8f,2
0390d17683e77e7e9d8c923134b1f5a1,7
039b28c0e2a52524890797e9e0f29899,34
03a96561272fd50c87db8fbcea5513b7,2
03afdbd66e7929b125f8597834fa83a4,370
03b264c595403666634ac75d828439bc,8
03b92cd507ff5870df0db7f074728830,10
03bfc1d4783966c69cc6aef8247e0103,3
03c6b06952c750899bb03d998e631860,22
03c874ab55baa3c1f835d108415fac44,16
03cd440e3108c256d13925f3ecedf952,14
03db60c2331018b18c4166c1787072fe,1
03e062d9f92027490903f1d2a49da9b9,2
03e0704b5690a2dee1861dc3ad3316c9,9
03e17dbf92c96771d35b3271f4a49899,5
03e4d3f831100d4355663f3d425d716b,39
03e7d2ebec1e820ac34d054df7e68f48,16
03fa2f7502f5f6b9169e67d17cbf51bb,2
03fbe3c1e895d92e60a544f6cba85914,10
04025959b191f8f9de3f924f0940515f,50
040ca38cefb1d9226d79c05dd25469cb,4
040fec70955253769acc94f134177c63,1
0415740eaa4d9decbc8da001d3fd805f,42
0422e8355e7a19bcd12e88813692f0e0,3
043a1c71577f6249b071679bce73d008,5
043ab21fc5a1607b381ac3896176dac6,12
043c3d7e489c69b48737cc0c92d0f3a2,10
045cf83ab0722e782cf72d14e44adf98,15
04600eed1bd16e8fe259baa0a436ed02,3
046ddf96c233a273fd390c3d0b1a9aa4,9
0486089d84114ddf543e7a76356de13c,2
049671e28a386427e432b3370a22aae4,15
0498b76a320aee7c36942926866cfc94,3
04a1bf2d968f1ce381cf1f9184a807a9,124
04ad5632029cbfbed8e136e5f6f7ddfa,20
04b0fdd6e57a35a2aaa0374e159a7f9f,40
04bfb969d86db78edfa332363b59f79a,12
04da4aea8e38ac933ab23cb2389dddef,34
04df4d434d481c5bb723be1b6df1ee65,64
04ecb1fa28506ccb6f72b12c0245ddbc,43
04fcc65450efcccdc9869442c3e36310,38
0501b4e3f17a759d1ac23462859567a7,51
0504009e78c51e294b80953cfca0cf55,9
05049e90fa4f5039a8cadc6acbb4b2cc,14
050553d40196ef109fff37cbb40aaf28,5
0507ea3f897987f62fc8619ae288236f,5
05128e44e27c36bdba71221bfccf735d,93
05311655a15b75fab86956663e1819cd,6
054826216783428249a279ba5b984315,1
05546b0e38ab9175cd905eebcc6ebb76,2
0563cad67522fc198dee8690630e475a,3
0589dd536fd043ff3865f8223fef3030,20
0599ed8cdae6949af69385a4b59ff0dc,13
059d9e01176ab2f0892fe2215835bf19,5
05a0c4a3f3a22424cf61ae7edb982888,1
05a4be7f376456730bdcb93e2abc9e39,3
05a5cf06982ba7892ed2a6d38fe832d6,291
05a6cd7ec4ebca7b256ee86cefd9c488,26
05a70454516ecd9194c293b0e415777f,146
05ae14d7ae387b93370d142d82220f1b,15
05b021ab5bf481558d40ac9cc81d95e5,8
05b15a3bd85969833e55b3f05185dcb9,6
05b2c0a62ef25ac7c2ea2eb32d3e27bc,78
05c7ac946880ad7eed28166b478c7277,24
05d74c48b5b30514d8e9bd60320fc8f6,2
05e97c207235d63ceb1db43c60db7bbb,26
05edf455cb266ccb3ea3ac2715f87326,1
05f03bcccda955d1689b36046a6db899,1
0601b74059931609ce1fd8410db6fb14,7
0602940f23884f782058efac46f64b0f,4
0609154fa35b3194026346c9cac2a248,159
060ad92489947d410d897474079c1477,172
060afc8a563aaccd288f98b7c8723b61,3
060fd70a06ead2e1079d27612b84aff4,15
06138bc5af6023646ede0e1f7c1eac75,23
062ddb6c727310e76b6200b7c71f63b5,7
063e26c670d07bb7c4d30e6fc69fe056,40
06409663226af2f3114485aa4e0a23b4,279
06524331e2c63c0ed3479bf1be85ce3b,1
0655f117444fc1911ab9c6f6b0139051,7
065982e894fcde21153454b2ea4b2a8a,22
066999ed9322bd434f20ad5ec4dd6b48,24
066f182b787111ed4cb65ed437f0855b,36
0677c70d21ee1ffd2ec01560ce0914cb,14
0678ca2eae02d542cc931e81b74de122,9
067c6f9e103f856a9705dc816357a32f,11
068004fef1759529ff6f29015cde17cd,5
069654d5ce089c13f642d19f09a3d1c0,6
069802d489a7b73dd31fd13b0f2cd690,2
069bb990aa72457c06f9a01089de7820,7
069d3bb002acd8d7dd095917f9efe4cb,38
06a15eb1c3836723b53e4abca8d9b879,2
06a81a4fb98d149f2d31c68828fa6eb2,4
06c284d3f757b15c02f47f3ff06dc275,4
06d5ae105ea1bea4d800bc96491876e9,20
06eb61b839a0cefee4967c67ccb099dc,10
06ee4c5c93a9957c9b1bb3bd89e800c8,1
06ef2caafa6e7dff1bb9e4a480ded51f,72
07042ac7d03d3b9911a00da43ce0079a,22
070dbb6024b5ef93784428afc71f2146,6
07168af6cb0ef9f78dae15739dd73255,10
07211688a0869d995947a8fb11b215d6,4
0736e8d5f3581a125a2e9872c3dfbca2,6
0738069b244a1c43c83112b735140a16,29
073f5b456a1406f710aaf3cbcb0016b6,7
0747b9be4f90056c30eb5241f06bfe9b,5
076023edc9187cf1ac1f1163470e479a,11
076a8133735eb5d7552dc195b125a454,9
076d75c0dd9ca27b2f674c8f5433f50b,5
